SGD_Momentumresult
nsamples=512, batch_size=64, epoch=100, lr=0.00015
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.14503, Wa=0.1000, Wb=1.7999, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-1.58538, dWb=0.44481, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.14496, Wa=0.1003, Wb=1.7997, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-6.60386, dWb=0.27970, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.14557, Wa=0.1015, Wb=1.7995, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=2.11979, dWb=0.62865, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.09716, Wa=0.1023, Wb=1.7992, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.15607, dWb=0.36977, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.24611, Wa=0.1030, Wb=1.7989, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=1.51201, dWb=0.94987, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.15227, Wa=0.1034, Wb=1.7985, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-6.94163, dWb=0.33031, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.17489, Wa=0.1048, Wb=1.7980, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-8.91115, dWb=0.29100, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.25987, Wa=0.1074, Wb=1.7976, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-20.61554, dWb=0.16342, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.32838, Wa=0.1129, Wb=1.7972, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-33.55680, dWb=0.46125, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.17891, Wa=0.1228, Wb=1.7967, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.86161, dWb=0.58402, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
