SGD_Momentumresult
nsamples=512, batch_size=64, epoch=100, lr=0.012
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=2, Epoch=0, minibatch=1, loss=0.13869, Wa=0.1012, Wb=1.7893, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-1.32208, dWb=0.44172, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=3, Epoch=0, minibatch=2, loss=0.24017, Wa=0.1181, Wb=1.7745, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-25.83294, dWb=0.13171, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=4, Epoch=0, minibatch=3, loss=0.18364, Wa=0.4433, Wb=1.7595, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-4.82395, dWb=0.45730, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=5, Epoch=0, minibatch=4, loss=0.13657, Wa=0.7939, Wb=1.7405, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.59971, dWb=0.46256, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=6, Epoch=0, minibatch=5, loss=0.11931, Wa=1.1166, Wb=1.7179, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.02374, dWb=0.50140, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=7, Epoch=0, minibatch=6, loss=0.20736, Wa=1.4073, Wb=1.6915, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.40652, dWb=0.77192, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=8, Epoch=0, minibatch=7, loss=0.28711, Wa=1.6641, Wb=1.6585, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.31740, dWb=0.89947, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=9, Epoch=1, minibatch=0, loss=0.30941, Wa=1.8914, Wb=1.6180, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.21036, dWb=0.94542, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=10, Epoch=1, minibatch=1, loss=0.28820, Wa=2.0934, Wb=1.5702, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.13944, dWb=0.92458, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=11, Epoch=1, minibatch=2, loss=0.23260, Wa=2.2736, Wb=1.5161, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.08630, dWb=0.84251, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=12, Epoch=1, minibatch=3, loss=0.28987, Wa=2.4347, Wb=1.4573, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.09728, dWb=0.87683, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=13, Epoch=1, minibatch=4, loss=0.18985, Wa=2.5786, Wb=1.3938, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.05363, dWb=0.69014, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=14, Epoch=1, minibatch=5, loss=0.18251, Wa=2.7074, Wb=1.3284, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.04741, dWb=0.61762, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=15, Epoch=1, minibatch=6, loss=0.09632, Wa=2.8227, Wb=1.2622, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.02547, dWb=0.42968, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=16, Epoch=1, minibatch=7, loss=0.07529, Wa=2.9262, Wb=1.1974, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.01722, dWb=0.27527, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=17, Epoch=2, minibatch=0, loss=0.11592, Wa=3.0192, Wb=1.1358, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.02220, dWb=0.32485, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=18, Epoch=2, minibatch=1, loss=0.06318, Wa=3.1026, Wb=1.0764, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.01173, dWb=0.14042, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=19, Epoch=2, minibatch=2, loss=0.05480, Wa=3.1775, Wb=1.0213, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00612, dWb=-0.06760, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=20, Epoch=2, minibatch=3, loss=0.08021, Wa=3.2449, Wb=0.9726, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00819, dWb=-0.03731, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=21, Epoch=2, minibatch=4, loss=0.07255, Wa=3.3054, Wb=0.9291, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00602, dWb=-0.07639, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
